!----------------------------------------------------------------------------------
! This is comment line
! Line start with ! or blank line will be ignored by the program
!--------------------------------------------------------------------------------------
!Parameter    AtLine         StartPosition  EndPosition   RoundUp    AbsoluteMin   AbsoluteMin
!--------------------------------------------------------------------------------------
LAT_ORGN.gw      15              1              16            4          0.0	    200.0
LAT_ORGP.gw      16              1              16            4          0.0	    200.0
ALPHA_BF_D.gw    17              1              16            4          0.0	      0.0001
!------------------------------------------------------------------------------------------
RE.sdr           2               1              10            2          0.0        Inf
SDRAIN.sdr       3               1              10            2          0.0        Inf
DRAIN_CO.sdr     4               1              10            2          0.0        Inf
PC.sdr           5               1              10            2          0.0        Inf
LATKSATF.sdr     6               1              10            2          0.0        Inf
!------------------------------------------------------------------------------------------
ISEP_TYP.sep              3      1              13            0          0.0        Inf
ISEP_IYR.sep              4      1              13            0          0.0        Inf
ISEP_OPT.sep              5      1              13            0          0.0        Inf
SEP_CAP.sep               6      1              13            1          0.0        Inf
BZ_AREA.sep               7      1              13            3          0.0        Inf
ISEP_TFAIL.sep            8      1              13            0          0.0        Inf
BZ_Z.sep                  9      1              13            3          0.0        Inf
BZ_THK.sep               10      1              13            3          0.0        Inf
SEP_STRM_DIST.sep        11      1              13            3          0.0        Inf
SEP_DEN.sep              12      1              13            3          0.0        Inf
BIO_BD.sep               13      1              13            3          0.0        Inf
COEFF_BOD_DC.sep         14      1              13            3          0.0        Inf
COEFF_BOD_CONV.sep       15      1              13            3          0.0        Inf
COEFF_FC1.sep            16      1              13            3          0.0        Inf
COEFF_FC2.sep            17      1              13            3          0.0        Inf
COEFF_FECAL.sep          18      1              13            3          0.0        Inf
COEFF_PLQ.sep            19      1              13            3          0.0        Inf
COEFF_MRT.sep            20      1              13            3          0.0        Inf
COEFF_RSP.sep            21      1              13            3          0.0        Inf
COEFF_SLG1.sep           22      1              13            5          0.0        Inf
COEFF_SLG2.sep           23      1              13            3          0.0        Inf
COEFF_NITR.sep           24      1              13            3          0.0        Inf
COEFF_DENITR.sep         25      1              13            3          0.0        Inf
COEFF_COEFF_PDISTRB.sep  26      1              13            5          0.0        Inf
COEFF_PSORPMAX.sep       27      1              13            3          0.0        Inf
COEFF_SOLPSLP.sep        28      1              13            3          0.0        Inf
COEFF_SOLPINTC.sep       29      1              13            3          0.0        Inf
!--------------------------------------------------------------------------------------
SOL_ZMX.sol       4             29              36            2          0.0	   3500.0
ANION_EXCL.sol    5             51              56            3          0.01	      1.0
SOL_CRK.sol       6             33              38            3          0.0	      1.0
SOL_Z.sol         8             28              39            2          0.0	   3500.0
SOL_BD.sol        9             28              39            2          0.9	      2.5
SOL_AWC.sol      10             28              39            2          0.0	      1.0
SOL_K.sol        11             28              39            2          0.0	    2000.0
SOL_CBN.sol      12             28              39            2          0.05	      10.0
SOL_CLAY.sol     13             28              39            2          0.0	     100.0
SOL_SILT.sol     14             28              39            2          0.0	     100.0
SOL_SAND.sol     15             28              39            2          0.0	     100.0
SOL_ROCK.sol     16             28              39            2          0.0	     100.0
SOL_ALB.sol      17             28              39            2          0.0	       0.25
USLE_K.sol       18             28              39            2          0.0	       0.65
SOL_EC.sol       19             28              39            2          0.0	     100.0
SOL_CAL.sol      20             28              39            2         -Inf	      Inf
SOL_PH.sol       21             28              39            2         -Inf	      Inf
!-----------------------------------------------------------------------------------------
CHW2.rte          2              1              14            3          0.0	    1000.0
CHD.rte           3              1              14            3          0.0	      30.0
CH_S2.rte         4              1              14            5          0.001	      10.0
CH_L2.rte         5              1              14            3          0.05	     500.0
CH_N2.rte         6              1              14            3          0.01	       0.3
CH_K2.rte         7              1              14            3          0.01	     500.0
CH_COV1.rte       8              1              14            3          0.0	      20.0
CH_COV2.rte       9              1              14            3          0.0          20.0
CH_WDR.rte       10              1              14            3          0.0	   10000.0
ALPHA_BNK.rte    11              1              14            3          0.0	       1.0
ICANAL.rte       12              1              14            2          0.0	       1.0
CH_ONCO.rte      13              1              14            2          0.0	     100.0
CH_OPCO.rte      14              1              14            2          0.0	   	 100.0	
CH_SIDE.rte      15              1              14            2          0.0           5.0
CH_BNK_BD.rte    16              1              14            2          1.1	       1.9
CH_BED_BD.rte    17              1              14            2          1.1	       1.9	
CH_BNK_KD.rte    18              1              14            2          0.001         3.75
CH_BED_KD.rte    19              1              14            2          0.001         3.75
CH_BNK_D50.rte   20              1              14            2          1.0	   10000.0
CH_BED_D50.rte   21              1              14            2          1.0	   10000.0
CH_BNK_TC.rte    22              1              14            2          0.0	     400.0
CH_BED_TC.rte    23              1              14            2          0.0	     400.0
CH_ERODMO.rte    24              1               6            2          0.0	       1.0	
CH_EQN.rte       25              1              14            0          0.0	       4.0
!-----------------------------------------------------------------------------------------
NMGT.mgt          2              1              16            0         0.0	           Inf
IGRO.mgt          4              1              16            0         0.0            1.0	    
PLANT_ID.mgt      5              1              16            0         0.0	           Inf   
LAI_INIT.mgt      6              1              16            2         0.0	           Inf
BIO_INIT.mgt      7              1              16            2         0.0	           Inf
PHU_PLT.mgt       8              1              16            2         0.0         3500.0
BIOMIX.mgt       10              1              16            2         0.0            1.0
CN2.mgt          11              1              16            2        35.0           98.0
USLE_P.mgt       12              1              16            2         0.0            1.0
BIO_MIN.mgt      13              1              16            2         0.0         5000.0
FILTERW.mgt      14              1              16            3         0.0	           Inf
IURBAN.mgt       16              1              16            0         0.0	           Inf
URBLU.mgt        17              1              16            0         0.0	           Inf
IRRSC.mgt        19              1              16            0         0.0	           Inf
IRRNO.mgt        20              1              16            0         0.0	           Inf
FLOWMIN.mgt      21              1              16            3         0.0	           Inf
DIVMAX.mgt       22              1              16            3         0.0	           Inf
FLOWFR.mgt       23              1              16            3         0.0	           Inf
DDRAIN.mgt       25              1              16            3         0.0	           Inf
TDRAIN.mgt       26              1              16            3         0.0	           Inf
GDRAIN.mgt       27              1              16            3         0.0	           Inf
NROT.mgt         29              1              16            0         0.0	           Inf
!-----------------------------------------------------------------------------------------
SFTMP.bsn         4              1              16            3       -20.0	         20.0
SMTMP.bsn         5              1              16            3       -20.0	         20.0
SMFMX.bsn         6              1              16            3         0.0	         20.0
SMFMN.bsn         7              1              16            3         0.0	         20.0
TIMP.bsn          8              1              16            3         0.0	          1
SNOCOVMX.bsn      9              1              16            3         0.0	         15
SNO50COV.bsn     10              1              16            3         0.0	          1
ESCO.bsn         13              1              16            3         0.0	          1
EPCO.bsn         14              1              16            3         0.0	          1
EVLAI.bsn        15              1              16            3        -Inf	           Inf
FFCB.bsn         16              1              16            3         0.0	           Inf
SURLAG.bsn       20              1              16            3         0.05	       24
ADJ_PKR.bsn      21              1              16            3         0.05	        2
PRF_BSN.bsn      22              1              16            3         0.0	            2
SPCON.bsn        23              1              16            4         0.0001	        0.01
SPEXP.bsn        24              1              16            4         1               1.5
RCN.bsn          26              1              16            3         0.0	           Inf
CMN.bsn          27              1              16            5         0.0	           Inf
N_UPDIS.bsn      28              1              16            3         0.0	           Inf
P_UPDIS.bsn      29              1              16            3         0.0	           Inf
NPERCO.bsn       30              1              16            3         0.0	           Inf
PPERCO.bsn       31              1              16            3         0.0	           Inf
PHOSKD.bsn       32              1              16            3         0.0	           Inf
PSP.bsn          33              1              16            3         0.0	           Inf
RSDCO.bsn        34              1              16            3         0.0	           Inf
PERCOP.bsn       36              1              16            3         0.0	           Inf
ISUBWQ.bsn       38              1              16            0         0.0	           Inf
WDPQ.bsn         40              1              16            3         0.0	           Inf
WGPQ.bsn         41              1              16            3         0.0	           Inf
WDLPQ.bsn        42              1              16            3         0.0	           Inf
WGLPQ.bsn        43              1              16            3         0.0	           Inf
WDPS.bsn         44              1              16            3         0.0	           Inf
WGPS.bsn         45              1              16            3         0.0	           Inf
WDLPS.bsn        46              1              16            3         0.0	           Inf
WGLPS.bsn        47              1              16            3         0.0	           Inf
BACTKDQ.bsn      48              1              16            3         0.0	           Inf
THBACT.bsn       49              1              16            3         0.0	           Inf
WOF_P.bsn        50              1              16            3         0.0	           Inf
WOF_LP.bsn       51              1              16            3         0.0	           Inf
WDPF.bsn         52              1              16            3         0.0	           Inf
WGPF.bsn         53              1              16            3         0.0	           Inf
WDLPF.bsn        54              1              16            3         0.0	           Inf
WGLPF.bsn        55              1              16            3         0.0	           Inf
ISED_DET.bsn     56              1              16            0         0.0	           Inf
MSK_CO1.bsn      59              1              16            3         0.0	           1
MSK_CO2.bsn      60              1              16            3         0.0	           1
MSK_X.bsn        61              1              16            3         0.0	           0.3
TRNSRCH.bsn      65              1              16            3         0.0	           Inf
EVRCH.bsn        66              1              16            3         0.0	           Inf
IRTPEST.bsn      67              1              16            0         0.0	           Inf
ICN.bsn          68              1              16            0         0.0	           Inf
CNCOEF.bsn       69              1              16            3         0.0	           Inf
CDN.bsn          70              1              16            3         0.0	           Inf
SDNCO.bsn        71              1              16            3         0.0	           Inf
BACT_SWF.bsn     72              1              16            3         0.0	           Inf
BACTMX.bsn       73              1              16            3         0.0	           Inf
BACTMINLP.bsn    74              1              16            3         0.0	           Inf
BACTMINP.bsn     75              1              16            3         0.0	           Inf
WDLPRCH.bsn      76              1              16            3         0.0	           Inf
WDPRCH.bsn       77              1              16            3         0.0	           Inf
WDLPRES.bsn      78              1              16            3         0.0	           Inf
WDPRES.bsn       79              1              16            3         0.0	           Inf
TB_ADJ.bsn       80              1              16            3         0.0	           Inf
DEPIMP_BSN.bsn   81              1              16            3         0.0	           Inf
DDRAIN_BSN.bsn   82              1              16            3         0.0	           Inf
TDRAIN_BSN.bsn   83              1              16            3         0.0	           Inf
GDRAIN_BSN       84              1              16            3         0.0	           Inf
CN_FROZ.bsn      85              1              16            6         0.0	           Inf
DORM_HR.bsn      86              1              16            3         0.0	           Inf
SMXCO.bsn        87              1              16            3         0.0	           Inf
FIXCO.bsn        88              1              16            3         0.0	           Inf
NFIXMX.bsn       89              1              16            3         0.0	           Inf
ANION_EXCL_BSN.bsn   90          1              16            3         0.0	           Inf
CH_ONCO_BSN.bsn      91          1              16            3         0.0	           Inf
CH_OPCO_BSN.bsn      92          1              16            3         0.0	           Inf
HLIFE_NGW_BSN.bsn    93          1              16            3         0.0	           Inf
RCN_SUB_BSN.bsn      94          1              16            3         0.0	           Inf
BC1_BSN.bsn          95          1              16            3         0.0	           Inf
BC2_BSN.bsn          96          1              16            3         0.0	           Inf
BC3_BSN.bsn          97          1              16            3         0.0	           Inf
BC4_BSN.bsn          98          1              16            3         0.0	           Inf
DECR_MIN.bsn         99          1              16            3         0.0	           Inf
ICFAC.bsn           100          1              16            3         0.0	           Inf
RSD_COVCO.bsn       101          1              16            3         0.0	           Inf
VCRIT.bsn           102          1              16            3         0.0	           Inf
CSWAT.bsn           103          1              16            0         0.0	           Inf
RES_STLR_CO.bsn     104          1              16            3         0.0	           Inf
BFLO_DIST.bsn       105          1              16            3         0	           1
IUH.bsn             106          1              16            0         1	           2
UHALPHA.bsn         107          1              16            3         0.5	           10
EROS_SPL.bsn        111          1              16            3         0.9	           3.1
RILL_MULT.bsn       112          1              16            3         0.5	           2
EROS_EXPO.bsn       113          1              16            3         1.5	           3	
SUBD_CHSED.bsn      114          1              16            3         0	           2
C_FACTOR.bsn        115          1              16            3         0.001	       0.45
CH_D50.bsn          116          1              16            1         10	         100
SIG_G.bsn           117          1              16            3         1	           5
RE_BSN.bsn          118          1              16            2         0.0	           Inf
SDRAIN_BSN.bsn      119          1              16            2         0.0	           Inf
DRAIN_CO_BSN.bsn    120          1              16            2         0.0	           Inf
PC_BSN.bsn          121          1              16            3         0.0	           Inf
LATKSATF_BSN.bsn    122          1              16            2         0.0	           Inf
ITDRN.bsn           123          1              16            0         0.0	           Inf
IWTDN.bsn           124          1              16            0         0.0	           Inf
SOL_P_MODEL.bsn     125          1              16            0         0.0	           Inf
IABSTR.bsn          126          1              16            3         0.0	           Inf
IATMODEP.bsn        127          1              16            0         0.0	           Inf
R2ADJ_BSN.bsn       128          1              16            0         0.0	           Inf
SSTMAXD_BSN.bsn     129          1              16            0         0.0	           Inf
ISMAX.bsn           130          1              16            0         0.0	           Inf
IROUTUNIT.bsn       131          1              16            0         0.0	           Inf
!-----------------------------------------------------------------------------------------
PLAPS.sub            21          1              16            3     -1000.0         1000.0
TLAPS.sub            22          1              16            3       -10.0	          10.0
SNO_SUB.sub          23          1              16            3         0.0	         150.0
CH_L1.sub            25          1              16            3         0.05	     200.0
CH_S1.sub            26          1              16            3         0.0001	      10.0
CH_W1.sub            27          1              16            3         1.0	        1000.0
CH_K1.sub            28          1              16            3         0.0	         300.0
CH_N1.sub            29          1              16            3         0.01	       0.3
CO2.sub              35          1              16            3         0.0	         800.0
!-----------------------------------------------------------------------------------------
PND_FR.pnd               3          1              16            3         0.0	         1.0
PND_PSA.pnd              4          1              16            3         0.0	         Inf
PND_PVOL.pnd             5          1              16            3         0.0	         Inf
PND_ESA.pnd              6          1              16            3         0.0	         Inf
PND_EVOL.pnd             7          1              16            3         0.0	         Inf
PND_VOL.pnd              8          1              16            3         0.0	         Inf
PND_SED.pnd              9          1              16            3         0.0	         Inf
PND_NSED.pnd            10          1              16            3         0.0	         Inf
PND_K.pnd               11          1              16            3         0.0	         Inf
IFLOD1.pnd              12          1              16            0         0	         12
IFLOD2.pnd              13          1              16            0         0	         12
NDTARG.pnd              14          1              16            3         0.0	         Inf
PSETLP1.pnd             15          1              16            3         0.0	         Inf
PSETLP2.pnd             16          1              16            3         0.0	         Inf
NSETLP1.pnd             17          1              16            3         0.0	         Inf
NSETLP2.pnd             18          1              16            3         0.0	         Inf
CHLAP.pnd               19          1              16            3         0.0	         1
SECCIP.pnd              20          1              16            3         0.0	         1
PND_NO3.pnd             21          1              16            3         0.0	         Inf
PND_SOLP.pnd            22          1              16            3         0.0	         Inf
PND_ORGN.pnd            23          1              16            3         0.0	         Inf
PND_ORGP.pnd            24          1              16            3         0.0	         Inf
PND_D50.pnd             25          1              16            3         0.0	         Inf
IPND1.pnd               26          1              16            0         0	         12
IPND2.pnd               27          1              16            0         0	         12
WET_FR.pnd              29          1              16            3         0.0	         1.0
WET_NSA.pnd             30          1              16            3         0.0	         Inf
WET_NVOL.pnd            31          1              16            3         0.0	         Inf
WET_MXSA.pnd            32          1              16            3         0.0	         Inf
WET_MXVOL.pnd           33          1              16            3         0.0	         Inf
WET_VOL.pnd             34          1              16            3         0.0	         Inf
WET_SED.pnd             35          1              16            3         0.0	         Inf
WET_NSED.pnd            36          1              16            3         0.0	         Inf
WET_K.pnd               37          1              16            3         0.0	         Inf
PSETLW1.pnd             38          1              16            3         0.0	         Inf
PSETLW2.pnd             39          1              16            3         0.0	         Inf
NSETLW1.pnd             40          1              16            3         0.0	         Inf
NSETLW2.pnd             41          1              16            3         0.0	         Inf
CHLAW.pnd               42          1              16            3         0.0	         1
SECCIW.pnd              43          1              16            3         0.0	         1
WET_NO3.pnd             44          1              16            3         0.0	         Inf
WET_SOLP.pnd            45          1              16            3         0.0	         Inf
WET_ORGN.pnd            46          1              16            3         0.0	         Inf
WET_ORGP.pnd            47          1              16            3         0.0	         Inf
PNDEVCOEFF.pnd          48          1              16            3         0.0	         Inf
WETEVCOEFF.pnd          49          1              16            3         0.0	         Inf
!-----------------------------------------------------------------------------------------
MORES.res                3          1              16            0          0	         12
IYRES.res                4          1              16            0          1	         Inf
RES_ESA.res              5          1              16            0          0	         Inf
RES_EVOL.res             6          1              16            1          0	         Inf
RES_PSA.res              7          1              16            1          0	         Inf
RES_PVOL.res             8          1              16            1          0	         Inf
RES_VOL.res              9          1              16            1          0	         Inf
RES_SED.res             10          1              16            1          0	         Inf
RES_NSED.res            11          1              16            1          0	         Inf
RES_D50.res             12          1              16            1          0	         Inf
RES_K.res               13          1              16            1          0	         Inf
IRESCO.res              14          1              16            0          0	         3
RES_RR.res              23          1              16            1          0	         Inf
IFLOD1R.res             25          1              16            0          1	         12
IFLOD2R.res             26          1              16            0          1	         12
NDTARGR.res             27          1              16            0          1	         Inf
WURTNF.res              37          1              16            0          1	         1
EVRSV.res               38          1              16            1          0	         1
OFLOWMN_FPS.res         39          1              16            0          0	         1
STARG_FPS.res           40          1              16            0          0	         1
